operation_name,request_id,invoked_at_time,serverless_fn_start_time,enqueued_at_time,began_executing_time,finished_executing_time,serverless_fn_end_time,result_received_time,invocation_duration,preprocessing_duration,waiting_in_queue_duration,execution_duration,postprocessing_duration,return_to_client_duration,serverless_fn_duration,deployment_number,name_node_id,request_type,metadata_cache_hits,metadata_cache_misses
getBlockLocations,ceedbbe6-fc64-4864-81fc-69bd36c0246f  ,1646931815203             ,1646931815203             ,0                         ,1646931815203             ,1646931815205             ,1646931815205             ,1646931815205             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1649 ,1549 
getBlockLocations,b1c296c5-e6dc-47e6-a925-7ac8cd39072b  ,1646931815317             ,1646931815317             ,0                         ,1646931815317             ,1646931815318             ,1646931815318             ,1646931815318             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1761 ,1661 
getBlockLocations,8b91f723-4c65-40c1-b431-e317a40ca713  ,1646931830138             ,1646931830138             ,0                         ,1646931830138             ,1646931830139             ,1646931830139             ,1646931830140             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1358 ,1258 
getBlockLocations,107fef83-7eb6-40db-b1f9-1613d2bce54b  ,1646931807243             ,1646931807243             ,0                         ,1646931807243             ,1646931807245             ,1646931807245             ,1646931807245             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1248 ,1148 
getBlockLocations,01adb0c0-6560-4b6e-85c2-af73a5da610a  ,1646931811533             ,1646931811533             ,0                         ,1646931811533             ,1646931811535             ,1646931811535             ,1646931811535             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1050 ,950  
getBlockLocations,119944c0-ee1b-4521-8166-00f0648e3446  ,1646931815364             ,1646931815364             ,0                         ,1646931815364             ,1646931815365             ,1646931815365             ,1646931815365             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1807 ,1707 
getBlockLocations,d7097992-e3ce-482c-a27f-bfcd511d2554  ,1646931815157             ,1646931815157             ,0                         ,1646931815157             ,1646931815158             ,1646931815158             ,1646931815158             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1631 ,1531 
getBlockLocations,e8a76aa6-3ec6-496d-9cf9-725668492613  ,1646931830116             ,1646931830116             ,0                         ,1646931830116             ,1646931830118             ,1646931830118             ,1646931830118             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1338 ,1238 
getBlockLocations,6bd39189-e904-456c-bace-8ba51ca92771  ,1646931815138             ,1646931815138             ,0                         ,1646931815138             ,1646931815140             ,1646931815140             ,1646931815140             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1613 ,1513 
getBlockLocations,5a573551-1f32-4ab0-b0ae-b93f5fe56e4f  ,1646931815489             ,1646931815489             ,0                         ,1646931815489             ,1646931815490             ,1646931815490             ,1646931815490             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1929 ,1829 
getBlockLocations,5ee387dc-b218-4e99-a2b1-0c8247a6b86e  ,1646931811230             ,1646931811230             ,0                         ,1646931811230             ,1646931811231             ,1646931811231             ,1646931811232             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,840  ,740  
getBlockLocations,d705cce0-0ef2-481c-85d8-951a8afa6b6b  ,1646931831238             ,1646931831238             ,0                         ,1646931831238             ,1646931831240             ,1646931831240             ,1646931831240             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,2158 ,2058 
getBlockLocations,d03d7e23-1618-49eb-8096-3a618e370d26  ,1646931830210             ,1646931830210             ,0                         ,1646931830210             ,1646931830211             ,1646931830211             ,1646931830212             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1424 ,1324 
getBlockLocations,70ea52d3-a5c3-4e63-894f-d37668cd0438  ,1646931830924             ,1646931830924             ,0                         ,1646931830924             ,1646931830926             ,1646931830926             ,1646931830926             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1902 ,1802 
getBlockLocations,53e88d01-3549-45d4-821e-30be12e77e6a  ,1646931815140             ,1646931815140             ,0                         ,1646931815140             ,1646931815142             ,1646931815142             ,1646931815142             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1615 ,1515 
getBlockLocations,36ccb0c0-e48e-446c-bbde-5d77e07090ec  ,1646931830410             ,1646931830410             ,0                         ,1646931830411             ,1646931830412             ,1646931830412             ,1646931830412             ,0       ,1       ,0       ,1       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1514 ,1414 
getBlockLocations,838a24f4-a963-48f3-8b43-52406129ab29  ,1646931811234             ,1646931811234             ,0                         ,1646931811234             ,1646931811236             ,1646931811236             ,1646931811236             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,844  ,744  
getBlockLocations,bfcc0b68-6669-45a7-a320-6d2bec052940  ,1646931815413             ,1646931815413             ,0                         ,1646931815413             ,1646931815415             ,1646931815415             ,1646931815415             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1855 ,1755 
getBlockLocations,0f98a4f3-f94b-4136-8ea1-1aea8ae0c808  ,1646931831164             ,1646931831164             ,0                         ,1646931831164             ,1646931831165             ,1646931831165             ,1646931831165             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2082 ,1982 
getBlockLocations,ae72df29-e680-4190-9ffa-9d315e2613a1  ,1646931831302             ,1646931831302             ,0                         ,1646931831302             ,1646931831303             ,1646931831303             ,1646931831303             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2222 ,2122 
